subject,object,original_label
Management,Project management,broader
Semiconductor devices,Power semiconductor switches,broader
Materials,Resins,broader
Communication systems,Digital communication,broader
Sensors,Sensor placement,broader
Medical conditions,Atrophy,broader
Circuits,Microprocessors,broader
Management,Process planning,broader
Anatomy,Musculoskeletal system,broader
Economics,Oligopoly,broader
Physics,Rydberg atoms,broader
Sensors,Pressure sensors,broader
Numerical analysis,Relaxation methods,broader
Optics,Optical amplifiers,broader
Communication systems,Data buses,broader
Modeling,Mobility models,broader
Integrated circuits,Radiofrequency integrated circuits,broader
Numerical analysis,Newton method,broader
Diseases,Arthritis,broader
Integrated circuits,Hybrid integrated circuits,broader
Circuits,Circuit simulation,broader
Computer applications,Virtual manufacturing,broader
Circuits,Passive circuits,broader
Biology,Biological system modeling,broader
Measurement,Geologic measurements,broader
Diseases,Alzheimer's disease,broader
Production,Production equipment,broader
Antennas,Leaky wave antennas,broader
Image processing,Image color analysis,broader
Medical treatment,Hospitals,broader
Industries,Communication industry,broader
Integrated circuits,Current-mode circuits,broader
Algorithms,Multicast algorithms,broader
Testing,Error analysis,broader
Testing,Automatic testing,broader
Image processing,Active shape model,broader
Antennas,Horn antennas,broader
Chemical elements,Nitrogen,broader
Metals,Germanium,broader
Control systems,Mechanical variables control,broader
Testing,Aerospace testing,broader
Measurement,Wavelength measurement,broader
Numerical analysis,Numerical stability,broader
Manufacturing systems,Agile manufacturing,broader
Optics,Microoptics,broader
Robots,Robot learning,broader
Diseases,Multiple sclerosis,broader
Filters,Microstrip filters,broader
Structural shapes,Lightweight structures,broader
Numerical analysis,Sparse matrices,broader
Diseases,Bacterial infections,broader
Control systems,Digital control,broader
Modeling,Atmospheric modeling,broader
Measurement,Atomic measurements,broader
Algorithms,Partitioning algorithms,broader
Robots,Manipulators,broader
Optics,Physical optics,broader
Robots,Automata,broader
Industries,Airline industry,broader
Filters,IIR filters,broader
Algorithms,Inference algorithms,broader
Management,Communication system operations and management,broader
Communication systems,IP networks,broader
Communication systems,Metropolitan area networks,broader
Medical treatment,Magnetic stimulation,broader
Brain,Brain modeling,broader
Computer security,Phishing,broader
Measurement,Micrometers,broader
Medical treatment,Neuromuscular stimulation,broader
Medical treatment,Hepatectomy,broader
Optics,Particle beam optics,broader
Economics,Venture capital,broader
Numerical analysis,Transmission line matrix methods,broader
Communication systems,Teleprinting,broader
Circuits,Asynchronous circuits,broader
Brain,Midbrain,broader
Mechanical factors,Lubrication,broader
Mathematics,Cyclic redundancy check,broader
Mechanical products,Pistons,broader
Imaging,Ground penetrating radar,broader
Software,Public domain software,broader
Anatomy,Respiratory system,broader
Medical services,X-rays,broader
Communication systems,Synchronous digital hierarchy,broader
Magnetics,Magnetic switching,broader
Manufacturing systems,Job production systems,broader
Medical conditions,Dyslexia,broader
Brain,Hindbrain,broader
Communication systems,Submillimeter wave communication,broader
Mathematics,Convergence,broader
Medical services,In vitro,broader
Medical conditions,Blindness,broader
Measurement,Wide area measurements,broader
Signal processing,Received signal strength indicator,broader
Optics,Luminescence,broader
Imaging,Focusing,broader
Medical services,Vaccines,broader
Mathematics,Sequences,broader
Mathematics,Root mean square,broader
Semiconductor devices,Schottky diodes,broader
Mechanical factors,Damping,broader
Imaging,Terahertz wave imaging,broader
Circuits,Printed circuits,broader
Mathematics,Statistics,broader
Computer security,Identity management systems,broader
Control systems,Gaze tracking,broader
Antennas,Microwave antennas,broader
Circuits,Summing circuits,broader
Materials processing,Curing,broader
Antennas,Reflector antennas,broader
Integrated circuits,Three-dimensional integrated circuits,broader
Antennas,Mobile antennas,broader
Optics,Photoluminescence,broader
Industry applications,Electrochemical devices,broader
Computer networks,Wide area networks,broader
Industry applications,Engines,broader
Optics,Optical crosstalk,broader
Chemical elements,Chlorine,broader
Image processing,Fiducial markers,broader
Geoscience,Geophysics,broader
Radar,Radar cross-sections,broader
Production,Productivity,broader
Computer networks,Software defined networking,broader
Mathematics,Minimization,broader
Brain,Forebrain,broader
Manufacturing systems,Food manufacturing,broader
Mechanical products,Wheels,broader
Brain,Thalamus,broader
Measurement,Particle measurements,broader
Software,Glass box,broader
Management,Supply chain management,broader
Materials processing,Swaging,broader
Control systems,Delay systems,broader
Robots,Social robots,broader
Magnetics,Magnetic multilayers,broader
Magnetics,Magnetomechanical effects,broader
Circuits,Switching circuits,broader
Semiconductor devices,Gunn devices,broader
Diseases,Muscular dystrophy,broader
Chemical elements,Terbium,broader
Management,Program management,broader
Measurement,Moisture measurement,broader
Modeling,System identification,broader
Image processing,Geophysical image processing,broader
Medical treatment,Angioplasty,broader
Structural shapes,Structural beams,broader
Anatomy,Embryonic structures,broader
Industry applications,Industrial engineering,broader
Mathematics,Fourier series,broader
Mathematics,Simulated annealing,broader
Diseases,Acquired immune deficiency syndrome,broader
Mechanical factors,Surface cracks,broader
Chemical elements,Molybdenum,broader
Optics,Optical tuning,broader
Modeling,Analytical models,broader
Industries,Chemical industry,broader
Software,Software systems,broader
Signal processing,Decorrelation,broader
Image processing,Image registration,broader
Antennas,Slot antennas,broader
Robots,Bio-inspired robotics,broader
Chemical elements,Uranium,broader
Imaging,Cameras,broader
Signal processing,Pulse compression methods,broader
Production,Process planning,broader
Control systems,Medical control systems,broader
Industries,Toy industry,broader
Sensors,Wearable sensors,broader
Nanotechnology,Nanofluidics,broader
Geoscience,Earthquakes,broader
Signal processing,Signal synthesis,broader
Communication systems,Communication system security,broader
Image processing,Image annotation,broader
Algorithms,Machine learning algorithms,broader
Image processing,Image filtering,broader
Production,Food products,broader
Circuits,Phase shifters,broader
Chemical elements,Yttrium,broader
Testing,System testing,broader
Optics,Light sources,broader
Materials,Photoconducting materials,broader
Optics,Optical antennas,broader
Mathematics,Functional analysis,broader
Materials,Optical materials,broader
Mathematics,Dynamical systems,broader
Statistics,Higher order statistics,broader
Radar,Ultra wideband radar,broader
Circuits,MOSFET circuits,broader
Physics,Biophysics,broader
Image processing,Morphological operations,broader
Management,Content management,broader
Industries,Computer industry,broader
Computer networks,Wireless access points,broader
Circuits,Coupling circuits,broader
Radar,High frequency radar,broader
Metals,Niobium,broader
Geoscience,Atmosphere,broader
Measurement,Ultrasonic variables measurement,broader
Chemical elements,Iridium,broader
Materials processing,Etching,broader
Computer applications,Computer aided analysis,broader
Modeling,Input variables,broader
Imaging,Tomography,broader
Signal processing,Limiting,broader
Testing,Test equipment,broader
Geoscience,Geoengineering,broader
Magnetics,Magnetic susceptibility,broader
Medical services,Occupational medicine,broader
Economics,Free economic zones,broader
Materials processing,Lamination,broader
Software,Software tools,broader
Structural shapes,Rails,broader
Algorithms,Hash functions,broader
Materials,Smart materials,broader
Nanotechnology,Nanoelectronics,broader
Materials,Biomedical materials,broader
Anatomy,Stomatognathic system,broader
Filters,Kalman filters,broader
Imaging,Optical imaging,broader
Signal processing,Modulation,broader
Economics,Environmental economics,broader
Economics,Exchange rates,broader
Optics,Optical distortion,broader
Computer applications,World Wide Web,broader
Industry applications,Electrostatic processes,broader
Software,System software,broader
Semiconductor devices,P-i-n diodes,broader
Industries,Transportation industry,broader
Sensors,Optical sensors,broader
Signal processing,Signal restoration,broader
Management,Enterprise resource planning,broader
Communication systems,Communication networks,broader
Computer applications,Computer integrated manufacturing,broader
Economics,Electronic commerce,broader
Chemical elements,Gadolinium,broader
Chemical elements,Oxygen,broader
Radar,Spread spectrum radar,broader
Image processing,Blob detection,broader
Chemical elements,Ytterbium,broader
Antennas,Steerable antennas,broader
Economics,Monopoly,broader
Sensors,Nanosensors,broader
Materials,Surfactants,broader
Communication systems,Personal communication networks,broader
Circuits,Distributed parameter circuits,broader
Circuits,Adders,broader
Mechanical factors,Pressure effects,broader
Control systems,Fault tolerant control,broader
Measurement,Doppler measurement,broader
Sensors,Thin film sensors,broader
Computer networks,Diffserv networks,broader
Circuits,Digital circuits,broader
Optics,Fluorescence,broader
Physics,High energy physics,broader
Imaging,Photography,broader
Medical treatment,Clinical trials,broader
Materials processing,Vapor deposition,broader
Computer applications,Telecommunication computing,broader
Numerical analysis,Multigrid methods,broader
Sensors,Magnetic sensors,broader
Medical treatment,Noninvasive treatment,broader
Control systems,Nonlinear control systems,broader
Medical conditions,Diseases,broader
Metals,Titanium,broader
Economics,Access charges,broader
Integrated circuits,Integrated circuit interconnections,broader
Modeling,Hidden Markov models,broader
Medical conditions,Addiction,broader
Geoscience,Rivers,broader
Manufacturing systems,Joining processes,broader
Medical services,Smart healthcare,broader
Management,Business continuity,broader
Signal processing,Dispersion,broader
Modeling,Emulation,broader
Mathematics,Probability,broader
Mathematics,Gradient methods,broader
Chemical elements,Protactinium,broader
Measurement,Dosimetry,broader
Geoscience,Soil,broader
Optics,Fiber optics,broader
Biology,Microbiology,broader
Signal processing,Array signal processing,broader
Semiconductor devices,Thermistors,broader
Biology,Synthetic biology,broader
Statistics,Dimensionality reduction,broader
Computer applications,Computer aided instruction,broader
Diseases,Infectious diseases,broader
Computer networks,Content distribution networks,broader
Antennas,Rectennas,broader
Chemical elements,Scandium,broader
Mathematics,Nonlinear systems,broader
Robots,Cognitive robotics,broader
Modeling,Digital elevation models,broader
Sensors,Force sensors,broader
Computer networks,Domain Name System,broader
Testing,Impulse testing,broader
Chemical elements,Promethium,broader
Industry applications,Security,broader
Power systems,Hybrid power systems,broader
Materials,Polymer foams,broader
Modeling,Solid modeling,broader
Mechanical products,Vents,broader
Statistics,Time series analysis,broader
Chemical elements,Cesium,broader
Industries,Wood industry,broader
Medical conditions,Autism,broader
Manufacturing systems,Integrated manufacturing systems,broader
Robots,Service robots,broader
Physics,Acoustics,broader
Anatomy,Immune system,broader
Medical treatment,Defibrillation,broader
Control systems,Moisture control,broader
Power systems,Industrial power systems,broader
Diseases,Arteriosclerosis,broader
Industries,Information industry,broader
Nanotechnology,Bionanotechnology,broader
Biology,Biophysics,broader
Image processing,Pansharpening,broader
Robots,Parallel robots,broader
Computer networks,Metropolitan area networks,broader
Filters,Superconducting filters,broader
Computer networks,Storage area networks,broader
Computer applications,Virtual assistants,broader
Diseases,Neurological diseases,broader
Control systems,Controllability,broader
Semiconductor devices,Surface emitting lasers,broader
Medical treatment,Precision medicine,broader
Robots,Autonomous robots,broader
Materials processing,Refining,broader
Production,Shafts,broader
Magnetics,Nonlinear magnetics,broader
Mathematics,Stochastic processes,broader
Management,Technical management,broader
Software,Software packages,broader
Communication systems,Facsimile,broader
Computer applications,Engineering computing,broader
Magnetics,Magnetic hysteresis,broader
Circuits,Programmable circuits,broader
Biology,Zoology,broader
Signal processing,Adaptive signal processing,broader
Magnetics,Magnetic force microscopy,broader
Software,Open source software,broader
Brain,Cerebellum,broader
Industry applications,High-temperature techniques,broader
Metals,Tungsten,broader
Manufacturing systems,Mass production,broader
Measurement,Magnetic variables measurement,broader
Mathematics,Closed-form solutions,broader
Chemical elements,Thulium,broader
Medical services,Internet of Medical Things,broader
Radar,Spaceborne radar,broader
Antennas,Textile antennas,broader
Circuits,Thin film circuits,broader
Nanotechnology,Nanosensors,broader
Testing,Frequency response,broader
Image processing,Image representation,broader
Optics,Ray tracing,broader
Measurement,Pulse measurements,broader
Magnetics,Magnetic devices,broader
Signal processing,Noise,broader
Mechanical factors,Friction,broader
Filters,Notch filters,broader
Algorithms,Backpropagation algorithms,broader
Management,Customer relationship management,broader
Materials processing,Bleaching,broader
Management,Production management,broader
Materials,Organic materials,broader
Mathematics,Random processes,broader
Industry applications,Wine industry,broader
Modeling,Computational modeling,broader
Mathematics,Graph theory,broader
Medical services,Public healthcare,broader
Materials,Intelligent materials,broader
Measurement,Spectroscopy,broader
Materials,Conducting materials,broader
Materials,Fluids,broader
Communication systems,Computer networks,broader
Antennas,Antenna theory,broader
Nanotechnology,Nanofabrication,broader
Antennas,Directive antennas,broader
Measurement,Gas chromatography,broader
Algorithms,Algorithm design and theory,broader
Numerical analysis,Numerical simulation,broader
Communication systems,Wide area networks,broader
Brain,Primary motor cortex,broader
Integrated circuits,Thick film circuits,broader
Filters,Gabor filters,broader
Optics,Aspherical optics,broader
Metals,Alloying,broader
Measurement,Distortion measurement,broader
Materials,Inorganic materials,broader
Brain,Neurodynamics,broader
Control systems,PI control,broader
Metals,Hafnium,broader
Anatomy,Fluids and secretions,broader
Integrated circuits,Digital integrated circuits,broader
Chemical elements,Isotopes,broader
Communication systems,Communication system traffic,broader
Software,Malware,broader
Biology,Biological cells,broader
Image processing,Spatial coherence,broader
Communication systems,Low latency communication,broader
Antennas,Multifrequency antennas,broader
Materials,Radioactive materials,broader
Communication systems,Terahertz communications,broader
Anatomy,Lymphatic system,broader
Circuits,Circuit noise,broader
Robots,Wearable robots,broader
Modeling,Space mapping,broader
Imaging,Microwave imaging,broader
Mathematics,Eigenvalues and eigenfunctions,broader
Circuits,Counting circuits,broader
Image processing,Image texture,broader
Management,Requirements management,broader
Metals,Chromium,broader
Image processing,Feature detection,broader
Sensors,Quantum sensing,broader
Antennas,Directional antennas,broader
Signal processing,Geophysical signal processing,broader
Medical conditions,Paralysis,broader
Statistics,Correlation coefficient,broader
Semiconductor devices,Power semiconductor devices,broader
Medical conditions,Obesity,broader
Economics,Stock markets,broader
Power systems,Power grids,broader
Computer applications,Computer generated music,broader
Industries,Sugar industry,broader
Management,Security management,broader
Software,Application software,broader
Circuits,Logic circuits,broader
Control systems,Closed loop systems,broader
Circuits,Linear circuits,broader
Signal processing,Tracking loops,broader
Robots,Soft robotics,broader
Integrated circuits,Analog-digital integrated circuits,broader
Sensors,Vision sensors,broader
Radar,Quantum radar,broader
Control systems,SCADA systems,broader
Physics,Quantum mechanics,broader
Numerical analysis,Approximation methods,broader
Structural shapes,Wires,broader
Algorithms,Whale optimization algorithms,broader
Algorithms,Compression algorithms,broader
Economics,Economic indicators,broader
Modeling,Object oriented modeling,broader
Circuits,Bistable circuits,broader
Optics,Birefringence,broader
Circuits,Silicon-on-insulator,broader
Signal processing,Optical signal processing,broader
Signal processing,Acoustic signal processing,broader
Materials processing,Heat treatment,broader
Mathematics,Boundary value problems,broader
Measurement,Software measurement,broader
Robots,Androids,broader
Biology,Biological systems,broader
Materials processing,Machining,broader
Communication systems,SIMO communication,broader
Structural shapes,Bars,broader
Nanotechnology,Nanoelectromechanical systems,broader
Industries,Coal industry,broader
Circuits,Millimeter wave integrated circuits,broader
Magnetics,Magnetic analysis,broader
Semiconductor devices,Quantum well lasers,broader
Materials,Laminates,broader
Measurement,Measurement by laser beam,broader
Communication systems,Local area networks,broader
Chemical elements,Iodine,broader
Mathematics,Mathematical models,broader
Communication systems,Internet,broader
Mechanical factors,Vibrations,broader
Materials,Lacquers,broader
Production,Production materials,broader
Communication systems,Broadband communication,broader
Medical treatment,Orthotics,broader
Statistics,Correlation,broader
Integrated circuits,Integrated circuit noise,broader
Materials,Polymers,broader
Chemical elements,Zirconium,broader
Algorithms,Distributed algorithms,broader
Physics,Dark energy,broader
Anatomy,Auditory system,broader
Control systems,Pneumatic systems,broader
Brain,Basal ganglia,broader
Algorithms,Software algorithms,broader
Algorithms,Parallel algorithms,broader
Robots,Visual odometry,broader
Image sequences,Image processing,narrower
Optical engineering,Optics,narrower
FET integrated circuits,Integrated circuits,narrower
Econometrics,Economics,narrower
Thick film sensors,Sensors,narrower
ARPANET,Communication systems,narrower
Electrostatic precipitators,Industry applications,narrower
Gastroenterology,Medical specialties,narrower
Automotive control,Control systems,narrower
Brain cells,Brain,narrower
Self-replicating machines,Nanotechnology,narrower
Demagnetization,Magnetics,narrower
Superluminescent diodes,Semiconductor devices,narrower
Hall effect devices,Semiconductor devices,narrower
Cybersickness,Medical conditions,narrower
Steel industry,Industries,narrower
Lakes,Geoscience,narrower
Thorium,Chemical elements,narrower
Spirals,Mathematics,narrower
Robot programming,Robots,narrower
Nanostructured materials,Materials,narrower
Optical fiber applications,Optics,narrower
Raw materials,Materials,narrower
Helical antennas,Antennas,narrower
Measurement techniques,Measurement,narrower
Integrated circuit modeling,Integrated circuits,narrower
Systems biology,Biology,narrower
Text detection,Image processing,narrower
Particle beam measurements,Measurement,narrower
Computer hacking,Computer security,narrower
Optical control,Control systems,narrower
Chemical reaction network theory,Mathematics,narrower
Traffic control,Control systems,narrower
Power system planning,Power systems,narrower
Magnetic particles,Magnetics,narrower
Euclidean distance,Mathematics,narrower
Power generation economics,Economics,narrower
Military computing,Computer applications,narrower
Image preprocessing,Image processing,narrower
Quantum communication,Communication systems,narrower
Dysprosium,Chemical elements,narrower
Millimeter wave integrated circuits,Integrated circuits,narrower
Load modeling,Modeling,narrower
Biomedical imaging,Imaging,narrower
Context modeling,Modeling,narrower
Feature extraction,Image processing,narrower
Finite volume methods,Numerical analysis,narrower
Antenna accessories,Antennas,narrower
Ventricle system,Brain,narrower
Nonparametric statistics,Statistics,narrower
Broadband antennas,Antennas,narrower
Software debugging,Software,narrower
Power system economics,Power systems,narrower
Image converters,Imaging,narrower
UHF communication,Communication systems,narrower
Robot control,Robots,narrower
Hoses,Mechanical products,narrower
Arithmetic,Mathematics,narrower
Robot sensing systems,Robots,narrower
Harmonic filters,Filters,narrower
Production materials,Materials,narrower
Independent component analysis,Numerical analysis,narrower
Geochemistry,Geoscience,narrower
Temporal lobe,Brain,narrower
Blanking,Manufacturing systems,narrower
Soil measurements,Measurement,narrower
Power system reliability,Power systems,narrower
Optogenetics,Optics,narrower
Bio-inspired materials,Materials,narrower
Robot kinematics,Robots,narrower
Symmetric matrices,Numerical analysis,narrower
Application specific integrated circuits,Integrated circuits,narrower
Channel coding,Information theory,narrower
Azimuth,Mathematics,narrower
Smoothing methods,Mathematics,narrower
Least squares approximations,Numerical analysis,narrower
Image sensors,Imaging,narrower
Transistors,Semiconductor devices,narrower
Tsunami,Geoscience,narrower
Piecewise linear techniques,Mathematics,narrower
Trade agreements,Economics,narrower
Four-wave mixing,Optics,narrower
Positive train control,Control systems,narrower
Neon,Chemical elements,narrower
Multidimensional signal processing,Signal processing,narrower
Linearization techniques,Mathematics,narrower
Power supplies,Power systems,narrower
Gray-scale,Image processing,narrower
Histograms,Statistics,narrower
Magnonics,Magnetics,narrower
Automatic generation control,Control systems,narrower
Contingency management,Management,narrower
Thin film circuits,Integrated circuits,narrower
Rail to rail operation,Circuits,narrower
Entropy,Physics,narrower
Copper,Metals,narrower
Optical character recognition,Software,narrower
Biological tissues,Anatomy,narrower
Cellular manufacturing,Manufacturing systems,narrower
Encoding,Information theory,narrower
Thermal sensors,Sensors,narrower
Horticulture,Industries,narrower
Proof of Work,Computer security,narrower
Resource management,Management,narrower
CMOS integrated circuits,Integrated circuits,narrower
Safety management,Management,narrower
Phase locked loops,Signal processing,narrower
Tornadoes,Geoscience,narrower
Optical antennas,Antennas,narrower
Corpus callosum,Brain,narrower
Predator prey systems,Biology,narrower
Laplace equations,Mathematics,narrower
Biomagnetics,Magnetics,narrower
Built-in self-test,Testing,narrower
Set theory,Mathematics,narrower
Local field potentials,Signal processing,narrower
Accuracy,Mathematics,narrower
Mechanobiology,Biology,narrower
Matching pursuit algorithms,Algorithms,narrower
Decision making,Management,narrower
Educational robots,Robots,narrower
Genetic communication,Information theory,narrower
Light fields,Optics,narrower
Dentistry,Medical treatment,narrower
Biological materials,Materials,narrower
Paper technology,Industry applications,narrower
Impedance measurement,Electric variables measurement,narrower
Multiprocessor interconnection networks,Computer networks,narrower
Nonlinear circuits,Circuits,narrower
Life testing,Testing,narrower
Aluminum,Metals,narrower
Construction,Industries,narrower
Circuit testing,Testing,narrower
Neurotechnology,Brain,narrower
Heuristic algorithms,Algorithms,narrower
Military robotics,Robots,narrower
Data center power,Power systems,narrower
Organ transplantation,Medical services,narrower
Network servers,Computer networks,narrower
Power integrated circuits,Circuits,narrower
Patch antennas,Antennas,narrower
Quantum sensing,Quantum mechanics,narrower
Receiving antennas,Antennas,narrower
Human immunodeficiency virus,Diseases,narrower
Natural gas industry,Industries,narrower
Color,Optics,narrower
Levee,Geoscience,narrower
Measurement units,Measurement,narrower
Rate-distortion,Information theory,narrower
Image reconstruction,Image processing,narrower
Control engineering computing,Computer applications,narrower
Integrated circuit modeling,Modeling,narrower
Nuclear measurements,Measurement,narrower
Assisted living,Medical services,narrower
Programmable logic arrays,Circuits,narrower
Multicast communication,Communication systems,narrower
Hamming weight,Information theory,narrower
Switched circuits,Circuits,narrower
Entertainment industry,Industries,narrower
Neptunium,Chemical elements,narrower
Microstrip antennas,Antennas,narrower
Automobile manufacture,Manufacturing systems,narrower
Magnetic flux,Magnetics,narrower
Virtual private networks,Computer networks,narrower
Solid-state physics,Physics,narrower
Lean production,Manufacturing systems,narrower
Closed box,Software,narrower
Through-silicon vias,Integrated circuits,narrower
Nonlinear equations,Mathematics,narrower
MIS devices,Semiconductor devices,narrower
Health information management,Medical services,narrower
Farming,Industries,narrower
Magnetic communication,Communication systems,narrower
Basis algorithms,Algorithms,narrower
Data-driven modeling,Modeling,narrower
Bidirectional control,Control systems,narrower
Polonium,Chemical elements,narrower
Geometrical optics,Optics,narrower
Holographic optical components,Optical devices,narrower
Simulation,Modeling,narrower
Insulator testing,Testing,narrower
Charge pumps,Circuits,narrower
Natural resources,Geoscience,narrower
Switching systems,Communication systems,narrower
Teleconferencing,Communication systems,narrower
Acoustic measurements,Measurement,narrower
Radar theory,Radar,narrower
Source separation,Signal processing,narrower
Genetic algorithms,Algorithms,narrower
Integumentary system,Anatomy,narrower
Polymer gels,Materials,narrower
Semiconductor process modeling,Modeling,narrower
Inverse problems,Modeling,narrower
Conformal mapping,Mathematics,narrower
Grammar,Professional communication,narrower
Integrated optics,Optics,narrower
Deafness,Medical conditions,narrower
Partial discharge measurement,Electric variables measurement,narrower
Approximation algorithms,Algorithms,narrower
Power system management,Power systems,narrower
Manganese,Metals,narrower
Antenna-in-package,Antennas,narrower
Human resource management,Management,narrower
Synapses,Nervous system,narrower
Optical devices,Optics,narrower
Pursuit algorithms,Algorithms,narrower
Antenna radiation patterns,Antennas,narrower
Medical robotics,Robots,narrower
Signal processing algorithms,Algorithms,narrower
Cancer,Diseases,narrower
Physics education,Physics,narrower
Airborne radar,Radar,narrower
Adaptive mesh refinement,Numerical analysis,narrower
Cognitive radar,Radar,narrower
Cerebrum,Brain,narrower
Glial cells,Nervous system,narrower
Gain measurement,Measurement,narrower
Signal reconstruction,Signal processing,narrower
Automatic control,Control systems,narrower
Optical design,Optics,narrower
Submillimeter wave circuits,Circuits,narrower
Software performance,Software,narrower
Injuries,Medical conditions,narrower
Resists,Materials,narrower
Brain ventricles,Brain,narrower
Telephony,Communication systems,narrower
Power system harmonics,Power systems,narrower
Matched filters,Filters,narrower
Isolators,Circuits,narrower
Digital alloys,Metals,narrower
Profitability,Economics,narrower
Bismuth,Metals,narrower
Brain modeling,Modeling,narrower
Electronic circuits,Circuits,narrower
Hafnium,Chemical elements,narrower
Cyber espionage,Computer security,narrower
Holmium,Chemical elements,narrower
Wire,Materials,narrower
Thyristor circuits,Circuits,narrower
Geology,Geoscience,narrower
Cataracts,Medical conditions,narrower
Wind energy integration,Power systems,narrower
Sliding mode control,Control systems,narrower
Integrated circuit synthesis,Integrated circuits,narrower
Feedback linearization,Control systems,narrower
CAMAC,Control systems,narrower
Cybercare,Medical services,narrower
Europium,Chemical elements,narrower
Spatial diversity,Communication systems,narrower
Parietal lobe,Brain,narrower
Optical collimators,Optical devices,narrower
Transmitting antennas,Antennas,narrower
Videotex,Communication systems,narrower
Root mean square,Statistics,narrower
Patient rehabilitation,Medical treatment,narrower
Density measurement,Measurement,narrower
Agriculture,Industries,narrower
Interferometry,Measurement,narrower
Feedback,Circuits,narrower
Storage management,Management,narrower
Plastics,Materials,narrower
Nanocommunication,Communication systems,narrower
Nanoplasmonics,Nanotechnology,narrower
Driver circuits,Circuits,narrower
Immunology,Medical specialties,narrower
Whispering gallery modes,Optics,narrower
Measurement errors,Measurement,narrower
Facilities management,Management,narrower
Smart pixels,Image processing,narrower
Gallium,Metals,narrower
Conductivity measurement,Electric variables measurement,narrower
Overlay networks,Computer networks,narrower
Electric variables measurement,Measurement,narrower
Optical retarders,Optics,narrower
Medical diagnosis,Medical services,narrower
Structure from motion,Image processing,narrower
Convex functions,Mathematics,narrower
Hypertension,Medical conditions,narrower
Ethernet,Computer networks,narrower
Textiles,Materials,narrower
Semiconductor device noise,Semiconductor devices,narrower
Power industry,Industries,narrower
Semiconductor-insulator interfaces,Semiconductor devices,narrower
Ganglia,Nervous system,narrower
Block signalling,Control systems,narrower
Parametric statistics,Statistics,narrower
Optical mixing,Optics,narrower
Nanolithography,Nanotechnology,narrower
Flow production systems,Manufacturing systems,narrower
Image sampling,Image processing,narrower
Forestry,Geoscience,narrower
Arrhythmia,Medical conditions,narrower
Holography,Imaging,narrower
Software as a service,Software,narrower
Geography,Geoscience,narrower
Telerobotics,Robots,narrower
Optical resonators,Optical devices,narrower
Apertures,Antennas,narrower
Publishing,Computer applications,narrower
Distributed management,Management,narrower
Mobile applications,Computer applications,narrower
Lanthanum,Metals,narrower
Additives,Materials,narrower
Scintillation counters,Measurement,narrower
Signal design,Signal processing,narrower
Optical fiber communication,Communication systems,narrower
Industrial robots,Robots,narrower
Fluid flow,Physics,narrower
Chemical technology,Industry applications,narrower
Software safety,Software,narrower
Nanomagnetics,Magnetics,narrower
Biophotonics,Biology,narrower
Axles,Mechanical products,narrower
Macroeconomics,Economics,narrower
Mode matching methods,Mathematics,narrower
Americium,Chemical elements,narrower
Algebra,Mathematics,narrower
Lumen,Measurement,narrower
Parkinson's disease,Diseases,narrower
Machine-to-machine communications,Communication systems,narrower
Architecture,Industries,narrower
